"""sitename""","""siteengname""","""areaname""","""county""","""township""","""siteaddress""","""twd97lon""","""twd97lat""","""sitetype""","""siteid"""
左營,Zuoying,高屏空品區,高雄市,左營區,高雄市左營區翠華路687號,120.292917,22.674861,一般站,54
前金,Qianjin,高屏空品區,高雄市,前金區,高雄市三民區市中一路339號,120.28676111,22.63390278,一般站,56
前鎮,Qianzhen,高屏空品區,高雄市,前鎮區,高雄市前鎮區中山三路43號,120.30833356,22.6044507,工業站,57
小港,Xiaogang,高屏空品區,高雄市,小港區,高雄市小港區平和南路185號,120.337736,22.565833,一般站,58
屏東,Pingtung,高屏空品區,屏東縣,屏東市,屏東市蘇州街75號,120.488033,22.673081,一般站,59
潮州,Chaozhou,高屏空品區,屏東縣,潮州鎮,屏東縣潮州鎮九塊里復興路66號,120.561175,22.523108,一般站,60
恆春,Hengchun,高屏空品區,屏東縣,恆春鎮,屏東縣恆春鎮公園路44號,120.788928,21.958069,一般站,61
臺東,Taitung,花東空品區,臺東縣,台東市,臺東市中山路276號,121.15045,22.755358,一般站,62
花蓮,Hualien,花東空品區,花蓮縣,花蓮市,花蓮市中正路210號,121.599769,23.971306,一般站,63
陽明,Yangming,北部空品區,臺北市,北投區,臺北市北投區竹子湖路111號,121.529583,25.182722,公園站,64
宜蘭,Yilan,宜蘭空品區,宜蘭縣,宜蘭市,宜蘭縣宜蘭市復興路二段77號,121.746394,24.747917,一般站,65
冬山,Dongshan,宜蘭空品區,宜蘭縣,冬山鄉,宜蘭縣冬山鄉南興村照安路26號,121.792928,24.632203,一般站,66
三重,Sanchong,北部空品區,新北市,三重區,新北市三重區三和路重陽路交口,121.493806,25.072611,交通站,67
中壢,Zhongli,北部空品區,桃園市,中壢區,桃園市中壢區延平路622號,121.221667,24.953278,交通站,68
竹山,Zhushan,中部空品區,南投縣,竹山鎮,南投縣竹山鎮大明路666號,120.677306,23.756389,一般站,69
永和,Yonghe,北部空品區,新北市,永和區,新北市永和區永和路光復路交口,121.516306,25.017,交通站,70
復興,Fuxing,高屏空品區,高雄市,前鎮區,高雄市前鎮區民權二路331號,120.312017,22.608711,交通站,71
埔里,Puli,中部空品區,南投縣,埔里鎮,南投縣埔里鎮西安路一段193號,120.967903,23.968842,其它站,72
馬祖,Matsu,其他,連江縣,南竿鄉,連江縣南竿鄉介壽村156-10號,119.93149378,26.15188416,一般站,75
金門,Kinmen,其他,金門縣,金城鎮,金門縣金城鎮民權路32號,118.312256,24.432133,一般站,77
馬公,Magong,其他,澎湖縣,馬公市,澎湖縣馬公市中正路115號,119.566158,23.569031,一般站,78
關山,Guanshan,花東空品區,臺東縣,關山鎮,臺東縣關山鎮自強路66號,121.161933,23.045083,其它站,80
麥寮,Mailiao,雲嘉南空品區,雲林縣,麥寮鄉,雲林縣麥寮鄉中興路115號,120.251825,23.753506,工業站,83
富貴角,FugueiCape,北部空品區,新北市,石門區,,121.53656894,25.29681695,背景站,84
大城,Dacheng,中部空品區,彰化縣,大城鄉,彰化縣大城鄉西厝路98號,120.26964167,23.85493056,其它站,85
